Fz,C3,Cz,C4,Pz,PO7,Oz,PO8
712888.25,397674.125,638632.375,748603.875,639824.4375,552601.3125,750000.0625,651741.75
534721.8125,-280386.46875,118062.1875,629283.625,288948.53125,149643.0625,422758.59375,222373.84375
490796.6875,-360437.71875,29004.966796875,676637.9375,219779.265625,98634.5,337041.53125,210329.75
330778.46875,-291213.125,177922.21875,718592.1875,263397.96875,208907.109375,285010.78125,361880.40625
153192.6875,40464.4375,374589.875,721838.25,417855.0625,394856.1875,316541.9375,500406.6875
-405154.96875,446270.5625,491081.25,556921.4375,395192.09375,628013.0625,694701.4375,745428.5625
70484.7109375,738193.75,265005.4375,635017.375,605461.875,750000.0625,750000.0625,750000.0625
750000.0625,750000.0625,398638.1875,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
750000.0625,750000.0625,750000.0625,750000.0625,730214.375,726334.75,703989.5,750000.0625
688729.9375,666844.375,750000.0625,750000.0625,614829.9375,611547.25,592184.375,650150.75
588236.3125,569381.3125,674741.4375,667768.5625,524842.6875,522071.0625,505263.34375,555065.75
506732.3125,490378.4375,581505.3125,575383.3125,451856.1875,449600.1875,434885.84375,477949.875
438965.40625,424702.5625,503948.34375,498640.4375,391118.34375,389324.21875,376620.90625,413915.96875
382283.5,369644.75,439009.03125,434395.53125,340415.75,338959.03125,327985.84375,360673.21875
342218.0,330892.8125,393088.15625,388859.21875,304788.75,303435.3125,293222.96875,322745.875
325768.46875,315038.8125,374352.3125,370236.46875,290170.0,288853.21875,278977.21875,307128.28125
315716.25,305392.4375,362979.90625,358988.78125,281204.09375,279941.5625,270307.4375,297666.34375
306672.84375,296610.4375,352689.0,348783.6875,273056.625,271874.21875,262456.25,289097.84375
298362.375,288572.375,343226.4375,339415.09375,265599.25,264463.875,255242.265625,281226.1875
290708.6875,281179.0625,334513.4375,330786.875,258757.84375,257637.3125,248622.671875,273992.4375
283651.4375,274360.78125,326475.21875,322831.1875,252483.171875,251337.0625,242535.484375,267332.59375
277142.78125,268069.65625,319029.15625,315468.5,246653.75,245517.203125,236912.859375,261174.875
271114.5,262224.25,312131.75,308661.0625,241234.609375,240145.453125,231725.28125,255484.390625
265534.8125,256831.75,305750.78125,302352.6875,236233.1875,235175.140625,226913.21875,250204.1875
260344.734375,251804.03125,299810.59375,296474.625,231618.359375,230555.84375,222454.046875,245304.859375
255515.859375,247130.375,294279.25,291004.4375,227335.484375,226254.109375,218304.21875,240748.59375
250997.671875,242752.5625,289093.375,285872.21875,223281.234375,222200.484375,214357.890625,236435.328125
246800.640625,238680.796875,284270.03125,281113.15625,219499.78125,218444.6875,210728.765625,232470.140625
242867.265625,234874.203125,279751.59375,276643.71875,215974.71875,214935.015625,207352.765625,228758.40625
